benchmark_name:Zaleplon MPO, top1:0.8346904102646913, top10:0.809181653136462, top100:0.7955020360467603, global_score:0.8131246998159711
execution_time:12108.918777942657, number_scoring_function_calls:0
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[PH-]=C[O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[PH-]=C[O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[PH-2]C=O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[P-]C[O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[P-]=CO)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[P-]4C=C4)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[P-2]C[O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[P-2]=CO)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[I]C[O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[I]C[O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[IH]C=O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[I-]C[O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#[I-]C[O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#SC[O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#P=CO)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SiH]O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SiH2-][O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SiH2-][O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SiH2-2][O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SiH2-2][O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SeH]O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SeH2]=O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SeH2-2][O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SeH2-2][O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SH2][O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SH2-][O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SH2-]=O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[SH-3]O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[PH2-2][O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[PH-]O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[PH-3]O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[PH-2]O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[IH]O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[IH2][O])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[IH2][O-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[IH2]=O)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#C[CH-][IH-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CO[SiH2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CO[SiH2-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CO[SeH2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CO[SeH2-2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CO[SH2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CO[SH2-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CO[PH2-3])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CO[PH2-2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CO[IH2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[Si-4])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[Si-3])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[Se-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[Se-4])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[Se-3])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[Se-2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[S-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[P])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[P-3])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC[I-2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CCF)cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC=[SiH-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC=[SiH-3])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC=[SiH-2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC=[SeH-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC=[SeH-2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC=[SH])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC=[SH-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC=[SH-2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC=[PH-4])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC=[IH-2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC#[SiH2-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC#[SeH2-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC#[SH2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC#[PH2-])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC#[PH2-2])cnn23)c1', 0.793982078592347)
('CCN(C(C)=O)c1cccc(-c2ccnc3c(C#CC#[IH2])cnn23)c1', 0.793982078592347)
